x,y
2803532.2525429684,818706.868392924
2801652.145137882,830624.4633314831
2802955.364550185,810059.1285035422
2797001.2198735294,833807.3262212509
2797342.6631191904,831046.6631587915
2794231.094645352,835465.754357709
2793402.075248513,830852.1188085873
2794722.0859073787,835833.2490671775
2801969.801753583,827356.0302627623
2799694.916055867,823291.8981118065
2792302.5777042564,805176.8380012915
2804319.356550536,822551.5935940425
2796554.20841041,824128.1210141722
2794655.392479172,825693.2216379098
2806821.525987128,825881.8248134374
2809921.3692372115,812930.5768595781
2805686.0503927167,820760.0268438484
2796454.3906906517,825023.7052339488
2797700.8308663373,824954.8760796519
2796046.204274975,812412.8738596314
2782956.892279816,820244.768982399
2796501.592712311,811607.5336184695
2807834.7243659375,826698.7554281653
2815295.7128529684,813413.4596206755
2799382.517206729,829064.9697377394
2793278.973375095,822140.0174483574
2800972.0521224365,829517.863769509
2792925.168296515,811115.0134193201
2794392.233933154,824780.2365792881
2798309.508164725,831688.4360818764
2797755.475993517,827748.8608389619
2796248.233710336,814332.1155750058
2801239.444760254,828534.7368805552
2797907.4274736485,829001.5172797005
2807210.52544483,819809.0936682975
2798119.4066781853,828270.0091458269
2804309.4334709104,824603.8228540709
2800421.680615641,825007.0055808248
2796944.1704819594,828460.3836782328
2785066.695288787,820893.0561220373
2798578.825933224,821198.3732048185
2804870.9439269844,834962.055693482
2796314.6228405964,818264.0018001578
2788853.966690531,825703.3146285035
2807935.9885654887,829113.0617552543
2795785.192653985,832455.0592736879
2806066.3265216146,814684.2732033478
2796476.54769505,824485.7127389847
2813930.3226428293,820558.6789998639
2799986.901380767,829503.9854402521
2795572.75399901,813628.1983942196
2801867.277711188,816080.661645907
2794923.1639224533,830726.2148624916
2807160.6452441514,826265.9208903327
2809512.743163612,819001.7645909837
2813571.156747656,821858.6215897283
2815667.084383575,820004.9565097822
2804322.6292226235,821024.057057013
2801355.1316429684,834226.0602105501
2812286.2277888195,819098.4560054629
2801839.075702455,820759.7434100185
2791645.436154289,822856.225505346
2798171.9701597784,829168.9772865226
2792650.8166095787,827688.8339284601
2794478.4705786384,829493.7377269045
2797900.7555194553,815453.5205583125
2811095.713858222,822243.4262011584
2810845.0002881354,814822.6863057698
2801330.467431535,814776.7026374199
2815104.979735733,819410.2674200884
2802711.524553781,829842.5921593929
2813208.3066631174,819840.3958954513
2807534.9496594234,826186.6267604943
2798373.9751027087,825417.8045209831
2795071.848303989,832504.7060964725
2795914.779473393,823785.9521017269
2799416.8063081917,843800.7804454868
2804571.754650579,824477.1547617234
2787935.5977406586,816965.830549633
2797225.3202031604,819879.3378729572
2804564.0848938418,836251.1180594445
2799507.7920976505,823814.5465146097
2801231.645128993,833051.2558618428
2806935.884491458,823249.48546082
2807717.3580660946,828304.6551889172
2793509.493371984,812339.3650495466
2809339.7416134095,809429.9250392413
2798453.307390755,834784.8536835666
2799129.996623965,829082.9917841377
2793323.9248092608,830037.8689774175
2799436.636960275,826726.0203620988
2779875.5765229254,816560.8377647296
2791190.979973257,814462.7728422167
2803676.8676251653,810971.9676752887
2804686.3761323155,825201.2000812435
2801007.16621254,828162.1838626764
2801086.0509309536,829412.5234873231
2800656.9625973427,842011.9971938414
2792877.3912247866,831769.1816580252
2800719.1434109453,841793.6914235228
